"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"year";"time_weeks";"time_weeks_needs_cleaning";"time";"comorbid_mental";"format";"format_details";"n_sessions_arm1";"country";"age_group";"mean_age";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"condition_legacy_arm1";"condition_legacy_arm2";"number_instruments";"number_arms";"is_multiarm";"outcome_rank";"primary";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_ref";"doi";"abstract";"title";"url";"journal";"id_study";".id"
"Aagaard, 2017";"cbt";"cau";NA;NA;0;0,231455024943138;"msd";"bdi-1";"self-report";17,5;12,6;40;17,5;12,4;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,5;14,1;42;24,1;12,3;38;2017;0;"2 year";"post";"n";"grp";"grp";8;"eu";"adul";48;0,71;"clin";"mdd";"adul";1;1;"sr";0;3;"ct-based psychoeducation+cau";"cau";1;2;0;2;1;NA;NA;NA;NA;NA;NA;"Aagaard, J., Foldager, L., Makki, A., Hansen, V., & MÂ¸ller-Nielsen, K. (2017). The efficacy of psychoeducation on recurrent depression: a randomized trial with a 2-year follow-up. Nord J Psychiatry, 71(3), 223-229.";101080;"AIMS: This randomized study tests the efficacy of treatment-as-usual supplemented with a psychoeducative programme for patients with recurrent depression, treated at Community Mental Health Centres (CMHC) in Denmark. The primary outcome measurements concern was decline in consumption of psychiatric inpatient services and decline in Beck's Depression Inventory (BDI).METHODS: Eighty patients were randomized, either to the psychoeducative programme (consisting of eight sessions, each of 2?hours duration) and 2-year outpatient follow-up (42 cases), or only to 2-year outpatient follow-up (38 controls). The patients were monitored during 2 years after randomization. Data were collected from interviews including BDI, drug treatment and social measurements, and register data concerning use of psychiatric services.RESULTS: At 2-year follow-up, a significant reduction in the consumption of psychiatric inpatient services and in BDI was found; however, it was uniform for case and control patients. Drop-out/non-compliance was significantly more frequent among patients randomized to the control group. Furthermore, during follow-up the case group got a significant stronger attachment to the Labour market than the control group.CONCLUSIONS: The primary hypothesis could not be confirmed. Secondary outcome measurements concerning drop-out/non-compliance and attachment to the Labour market were significantly in favour of cases.BACKGROUND: The efficacy of psychoeducation is well documented in the treatment of relapse prevention of schizophrenia, and recently also in bipolar disorder; however, for recurrent depression only few controlled studies focusing on the efficacy of psychoeducation have been conducted.";"The efficacy of psychoeducation on recurrent depression: a randomized trial with a 2-year follow-up";"http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/387/CN-01368387/frame.html and http://www.tandfonline.com/doi/pdf/10.1080/08039488.2016.1266385?needAccess=true";"Nordic journal of psychiatry";"Aagaard, 2017";"Aagaard_2017_cbt_cau_NA_NA_msd_bdi-1_self-report_0_post"
"Abas, 2018";"pst";"cau";NA;NA;0,710417767645097;0,391345090542833;"msd";"phq-9";"self-report";3,1;3,1;13;5,7;3,9;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,8;2,2;14;9,2;3,3;18;2018;0;NA;"post";"n";"ind";"ind";5;"oth";"adul";37,8;0,66;"oth";"cut";"med";1;1;"sr";1;4;"pst";"cau";2;2;0;4;1;NA;NA;NA;NA;NA;NA;"Abas M, Nyamayaro P, Bere T, et al. Feasibility and acceptability of a task-shifted intervention to enhance adherence to HIV medication and improve depression in people living with HIV in Zimbabwe, a low income country in sub-Saharan Africa. AIDS and Behavior 2018; 22(1): 86-101.";101007;"Using a pilot trial design in an HIV care clinic in Zimbabwe, we randomised 32 adults with poor adherence to antiretroviral therapy and at least mild depression to either six sessions of Problem-Solving Therapy for adherence and depression (PST-AD) delivered by an adherence counsellor, or to Enhanced Usual Care (Control). Acceptability of PST-AD was high, as indicated by frequency of session attendance and through qualitative analyses of exit interviews. Fidelity was > 80% for the first two sessions of PST-AD but fidelity to the adherence component of PST-AD dropped by session 4. Contamination occurred, in that seven patients in the control arm received one or two PST-AD sessions before follow-up assessment. Routine health records proved unreliable for measuring HIV viral load at follow-up. Barriers to measuring adherence electronically included device failure and participant perception of being helped by the research device. The study was not powered to detect clinical differences, however, promising change at 6-months follow-up was seen in electronic adherence, viral load suppression (PST-AD arm 9/12 suppressed; control arm 4/8 suppressed) and depression (Patient Health Questionnaire4.7 points in PST-AD arm vs. control, adjusted p value = 0.01). Results inform and justify a future randomised controlled trial of task-shifted PST-AD. (PsycINFO Database Record (c) 2018 APA, all rights reserved)";"Feasibility and acceptability of a task-shifted intervention to enhance adherence to HIV medication and improve depression in people living with HIV in Zimbabwe, a low income country in sub-Saharan Africa";"https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-00950-001&site=ehost-live";"AIDS and Behavior";"Abas, 2018";"Abas_2018_pst_cau_NA_NA_msd_phq-9_self-report_0_post"
"Abas, 2018";"pst";"cau";NA;NA;0,551649025934374;0,386464634602015;"msd";"dssq";"self-report";3,8;3,3;13;5,5;2,7;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,5;1,9;14;9,3;1,2;18;2018;0;NA;"post";"n";"ind";"ind";5;"oth";"adul";37,8;0,66;"oth";"cut";"med";1;1;"sr";1;4;"pst";"cau";2;2;0;99;0;NA;NA;NA;NA;NA;NA;"Abas M, Nyamayaro P, Bere T, et al. Feasibility and acceptability of a task-shifted intervention to enhance adherence to HIV medication and improve depression in people living with HIV in Zimbabwe, a low income country in sub-Saharan Africa. AIDS and Behavior 2018; 22(1): 86-101.";101007;"Using a pilot trial design in an HIV care clinic in Zimbabwe, we randomised 32 adults with poor adherence to antiretroviral therapy and at least mild depression to either six sessions of Problem-Solving Therapy for adherence and depression (PST-AD) delivered by an adherence counsellor, or to Enhanced Usual Care (Control). Acceptability of PST-AD was high, as indicated by frequency of session attendance and through qualitative analyses of exit interviews. Fidelity was > 80% for the first two sessions of PST-AD but fidelity to the adherence component of PST-AD dropped by session 4. Contamination occurred, in that seven patients in the control arm received one or two PST-AD sessions before follow-up assessment. Routine health records proved unreliable for measuring HIV viral load at follow-up. Barriers to measuring adherence electronically included device failure and participant perception of being helped by the research device. The study was not powered to detect clinical differences, however, promising change at 6-months follow-up was seen in electronic adherence, viral load suppression (PST-AD arm 9/12 suppressed; control arm 4/8 suppressed) and depression (Patient Health Questionnaire4.7 points in PST-AD arm vs. control, adjusted p value = 0.01). Results inform and justify a future randomised controlled trial of task-shifted PST-AD. (PsycINFO Database Record (c) 2018 APA, all rights reserved)";"Feasibility and acceptability of a task-shifted intervention to enhance adherence to HIV medication and improve depression in people living with HIV in Zimbabwe, a low income country in sub-Saharan Africa";"https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-00950-001&site=ehost-live";"AIDS and Behavior";"Abas, 2018";"Abas_2018_pst_cau_NA_NA_msd_dssq_self-report_0_post"
"Ahmadpanah, 2016";"other psy";"cau";"other psy (smt)";"cau";1,7788677477509;0,434791338210552;"msd";"bdi-1";"self-report";14,93;4,29;15;23,33;4,88;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,2;5,12;15;22;5,53;15;2016;0;"2 month";"post";"n";"grp";"grp";8;"oth";"adul";36,49;1;"oth";"sub";"med";1;1;"sr";0;3;"smt";"cau";1;3;1;2;1;NA;NA;NA;NA;NA;NA;"Ahmadpanah, M., Paghale, S. J., Bakhtyari, A., Kaikhavani, S., Aghaei, E., Nazaribadie, M., . . . Brand, S. (2016). Effects of psychotherapy in combination with pharmacotherapy, when compared to pharmacotherapy only on blood pressure, depression, and anxiety in female patients with hypertension.";101177;"We investigated effects of metacognitive detached mindfulness therapy and stress management training on hypertension and symptoms of depression and anxiety, as compared to a control condition. A total of 45 female patients (mean age: M = 36.49 years) were randomly assigned to one of three conditions: metacognitive detached mindfulness therapy, stress management training, and the control condition. Blood pressure and symptoms of depression and anxiety decreased from baseline to post-test, to follow-up. Group comparisons showed that blood pressure and symptoms of depression and anxiety decreased more in psychotherapeutic groups than in the control group. Psychotherapeutic treatment of hypertension reduced blood pressure and symptoms of depression and anxiety. Positive effects were observable at follow-up 8 weeks later. (PsycINFO Database Record (c) 2016 APA, all rights reserved)";"Effects of psychotherapy in combination with pharmacotherapy, when compared to pharmacotherapy only on blood pressure, depression, and anxiety in female patients with hypertension";"http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-32441-003&site=ehost-live and serge.brand@upkbs.ch";"Journal of Health Psychology";"Ahmadpanah, 2016";"Ahmadpanah_2016_otherpsy_cau_otherpsy(smt)_cau_msd_bdi-1_self-report_0_post"
"Ahmadpanah, 2016";"3rd";"cau";"3rd wave (mdm)";"cau";1,56819128194183;0,420272629687788;"msd";"bdi-1";"self-report";16,26;3,83;15;23,33;4,88;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,26;5,12;15;22;5,53;15;2016;0;"2 month";"post";"n";"ind";"ind";8;"oth";"adul";36,49;1;"oth";"sub";"med";1;1;"sr";0;3;"mdm";"cau";1;3;1;2;1;NA;NA;NA;NA;NA;NA;"Ahmadpanah, M., Paghale, S. J., Bakhtyari, A., Kaikhavani, S., Aghaei, E., Nazaribadie, M., . . . Brand, S. (2016). Effects of psychotherapy in combination with pharmacotherapy, when compared to pharmacotherapy only on blood pressure, depression, and anxiety in female patients with hypertension.";101177;"We investigated effects of metacognitive detached mindfulness therapy and stress management training on hypertension and symptoms of depression and anxiety, as compared to a control condition. A total of 45 female patients (mean age: M = 36.49 years) were randomly assigned to one of three conditions: metacognitive detached mindfulness therapy, stress management training, and the control condition. Blood pressure and symptoms of depression and anxiety decreased from baseline to post-test, to follow-up. Group comparisons showed that blood pressure and symptoms of depression and anxiety decreased more in psychotherapeutic groups than in the control group. Psychotherapeutic treatment of hypertension reduced blood pressure and symptoms of depression and anxiety. Positive effects were observable at follow-up 8 weeks later. (PsycINFO Database Record (c) 2016 APA, all rights reserved)";"Effects of psychotherapy in combination with pharmacotherapy, when compared to pharmacotherapy only on blood pressure, depression, and anxiety in female patients with hypertension";"http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-32441-003&site=ehost-live and serge.brand@upkbs.ch";"Journal of Health Psychology";"Ahmadpanah, 2016";"Ahmadpanah_2016_3rd_cau_3rdwave(mdm)_cau_msd_bdi-1_self-report_0_post"
"Alexopoulos, 2016";"pst";"other ctr";NA;NA;-0,215183490629242;0,174866416963007;"response (50%)";"hdrs";"clinician";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Response (50% decline on HAM-D)";28;37;84;87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2016;0;"6 month";"post";"n";"ind";"ind";11;"us";"olderold";74,9;NA;"oth";"mdd";"med";1;0;"1";1;3;"cm-pst";"cm";1;2;0;1;1;-0,24362208265775;0,198348929825668;28;37;84;87;"Alexopoulos GS, Raue PJ, McCulloch C, Kanellopoulos D, Seirup JK, Sirey JA, et al. Clinical case management versus case management with problem-solving therapy in low-income, disabled elders with major depression: A randomized clinical trial. American Journal of Geriatric Psychiatry. 2016;24(1):50-9.";101016;"OBJECTIVE: To test the hypotheses that (1) clinical case management integrated with problem-solving therapy (CM-PST) is more effective than clinical case management alone (CM) in reducing depressive symptoms of depressed, disabled, impoverished patients and that (2) development of problem-solving skills mediates improvement of depression.METHODS: This randomized clinical trial with a parallel design allocated participants to CM or CM-PST at 1:1 ratio. Raters were blind to patients' assignments. Two hundred seventy-one individuals were screened and 171 were randomized to 12 weekly sessions of either CM or CM-PST. Participants were at least 60 years old with major depression measured with the 24-item Hamilton Depression Rating Scale (HAM-D), had at least one disability, were eligible for home-based meals services, and had income no more than 30% of their counties' median.RESULTS: CM and CM-PST led to similar declines in HAM-D over 12 weeks (t = 0.37, df = 547, p = 0.71); CM was noninferior to CM-PST. The entire study group (CM plus CM-PST) had a 9.6-point decline in HAM-D (t = 18.7, df = 547, p <0.0001). The response (42.5% versus 33.3%) and remission (37.9% versus 31.0%) rates were similar (?(2) = 1.5, df = 1, p = 0.22 and ?(2) = 0.9, df = 1, p = 0.34, respectively). Development of problem-solving skills did not mediate treatment outcomes. There was no significant increase in depression between the end of interventions and 12 weeks later (0.7 HAM-D point increase) (t = 1.36, df = 719, p = 0.17).CONCLUSION: Organizations offering CM are available across the nation. With training in CM, their social workers can serve the many depressed, disabled, low-income patients, most of whom have poor response to antidepressants even when combined with psychotherapy.";"Clinical Case Management versus Case Management with Problem-Solving Therapy in Low-Income, Disabled Elders with Major Depression: A Randomized Clinical Trial";"http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/925/CN-01140925/frame.html and http://ac.els-cdn.com/S1064748115000883/1-s2.0-S1064748115000883-main.pdf?_tid=658ebf04-d99f-11e6-a25b-00000aacb361&acdnat=1484319110_dc27db34e3254ceaec0b841fb77e0310";"The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry";"Alexopoulos, 2016";"Alexopoulos_2016_pst_otherctr_NA_NA_response(50%)_hdrs_clinician_0_post"
"Alfonso, 2009";"lrt";"cau";"lrt";"cau";2,81735746277113;0,36683055755002;"msd";"ces-d";"self-report";13,6;5,14;30;34,1;8,76;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,87;7,9;30;30,93;7,07;30;2009;0;"9";"post";"n";"ind";"ind";5;"eu";"old";76;0,79;"clin";"cut";"old";0;0;"1";0;1;NA;NA;1;3;1;5;1;NA;NA;NA;NA;NA;NA;"Afonso, R., & Bueno, B. (2009). Efectos de un programa de reminiscencia sobre la sintomatologÃ­a depresiva en una muestra de poblaciÃ³n mayor portuguesa. Revista EspaÃ±ola de GeriatrÃ­a y GerontologÃ­a, 44(6), 317-322.";NA;NA;NA;NA;NA;"Alfonso, 2009";"Alfonso_2009_lrt_cau_lrt_cau_msd_ces-d_self-report_0_post"
"Alfonso, 2009";"lrt";"other ctr";"lrt";"other ctr";2,11678772486755;0,324030368506259;"msd";"ces-d";"self-report";13,6;5,14;30;30,57;9,94;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,87;7,9;30;33,97;7,37;30;2009;0;"9";"post";"n";"ind";"ind";5;"eu";"old";76;0,79;"clin";"cut";"old";0;0;"1";0;1;NA;NA;1;3;1;5;1;NA;NA;NA;NA;NA;NA;"Afonso, R., & Bueno, B. (2009). Efectos de un programa de reminiscencia sobre la sintomatologÃ­a depresiva en una muestra de poblaciÃ³n mayor portuguesa. Revista EspaÃ±ola de GeriatrÃ­a y GerontologÃ­a, 44(6), 317-322.";NA;NA;NA;NA;NA;"Alfonso, 2009";"Alfonso_2009_lrt_otherctr_lrt_otherctr_msd_ces-d_self-report_0_post"
"Alhusen, 2021";"cbt";"cau";NA;NA;1,45689151068139;0,291243833649801;"msd";"epds";"self-report";12;2,4;30;14,9;1,4;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;30;NA;NA;NA;NA;NA;17,8;1,4;30;17,4;1,9;30;2021;0;"25.5";"post";"n";"grp";"grp";5;"us";"adul";24,5;1;"oth";"cut";"ppd";0;0;"1";0;1;NA;NA;1;2;0;10;1;NA;NA;NA;NA;NA;NA;"Alhusen, J. L., Hayat, M. J., & Borg, L. (2021, Feb). A pilot study of a group-based perinatal depression intervention on reducing depressive symptoms and improving maternal-fetal attachment and maternal sensitivity. Arch Womens Ment Health, 24(1), 145-154. https://doi.org/10.1007/s00737-020-01032-0 
";NA;NA;NA;NA;NA;"Alhusen, 2021";"Alhusen_2021_cbt_cau_NA_NA_msd_epds_self-report_0_post"
"Allart van Dam, 2003";"cbt";"cau";NA;NA;0,569637930381429;0,205908966670104;"msd";"bdi-1";"self-report";9,64;7,09;61;14,12;8,77;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,78;6,89;61;14;6,9;41;2003;0;"1,6 & 12 month";"post";"n";"grp";"grp";12;"eu";"adul";45,5;0,62;"com";"sub";"adul";0;0;"sr";0;1;"cbt";"cau";1;2;0;2;1;NA;NA;NA;NA;NA;NA;"Allart-Van Dam E, Hosman CMH, Hoogduin CAL, Schaap CPDR. The coping with depression course: Short-term outcomes and mediating effects of a randomized controlled trial in the treatment of subclinical depression. Behavior Therapy. 2003;34(3):381-96.";NA;"This article reports on a randomized controlled trial investigating the short-term effectiveness of the Coping With Depression course in a sample of adults seriously at risk of developing major depression. In addition, possible mediating properties of several proximal outcome variables were assessed. Participants (N = 110) were adults with subclinical depressive symptoms. They were randomly assigned to either a group course condition, the Coping With Depression course, or an assessment-and-advice-only control group condition. Short-term results measured 1 month after completion of the course reveal that the course is effective in reducing depressive symptoms. The group course condition showed beneficial effects on depressive symptoms, pleasant activities, self-esteem, social skills, social support, and depressive thoughts. Changes in depressive cognition and self-esteem proved to be significant mediators of depressive symptoms. Possible implications for depression prevention are discussed.";"The coping with depression course: Short-term outcomes and mediating effects of a randomized controlled trial in the treatment of subclinical depression";"http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L38821391 and http://elvis.ubvu.vu.nl:9003/vulink?sid=EMBASE&issn=00057894&id=doi:&atitle=The+coping+with+depression+course%3A+Short-term+outcomes+and+mediating+effects+of+a+randomized+controlled+trial+in+the+treatment+of+subclinical+depression&stitle=Behav.+Ther.&title=Behavior+Therapy&volume=34&issue=3&spage=381&epage=396&aulast=Allart-Van+Dam&aufirst=Esther&auinit=E.&aufull=Allart-Van+Dam+E.&coden=BHVTA&isbn=&pages=381-396&date=2003&auinit1=E&auinitm=";"Behavior Therapy";"Allart van Dam, 2003";"AllartvanDam_2003_cbt_cau_NA_NA_msd_bdi-1_self-report_0_post"
